          obj       F275W     dF275W       F336W     dF336W       F475W     dF475W       F625W     dF625W       F775W     dF775W       F160W     dF160W
         gd71    22.55553    0.00267    23.39357    0.00270    25.66502    0.00290    25.24733    0.00280    24.33316    0.00259    24.55015    0.00300
        gd153    22.56243    0.00298    23.40582    0.00300    25.66941    0.00290    25.25457    0.00329    24.33560    0.00300    24.55288    0.00400
      g191b2b    22.56552    0.00177    23.40703    0.00160    25.67179    0.00130    25.25401    0.00190    24.61678    0.00277    24.55432    0.00100
  Annalisa ZP    22.58500    0.00500    23.42600    0.00500    25.69300    0.00600    25.27400    0.00500    24.36500    0.00200    24.69500    0.00500
     res_gd71    -0.02947    0.00267    -0.03243    0.00270    -0.02798    0.00290    -0.02667    0.00280    -0.03184    0.00259    -0.14485    0.00300
    res_gd153    -0.02257    0.00298    -0.02018    0.00300    -0.02359    0.00290    -0.01943    0.00329    -0.02940    0.00300    -0.14212    0.00400
  res_g191b2b    -0.01948    0.00177    -0.01897    0.00160    -0.02121    0.00130    -0.01999    0.00190     0.25178    0.00277    -0.14068    0.00100
Weighted mean    22.56246    0.00132    23.40393    0.00125    25.67048    0.00110    25.25240    0.00142    24.42851    0.00160    24.55385    0.00092
