obj                 F275W     dF275W       F336W     dF336W       F475W     dF475W       F625W     dF625W       F775W     dF775W       F160W     dF160W
gd71            22.549715   0.000760   23.393419   0.000700   25.665192   0.000820   25.251744   0.000870   24.330535   0.000480   24.550153   0.000290
gd153           22.556588   0.000680   23.400520   0.000930   25.665077   0.000900   25.250348   0.000910   24.330908   0.000520   24.552880   0.000450
g191b2b         22.561508   0.000700   23.403890   0.000690   25.671750   0.000710   25.251718   0.000520   24.328012   0.000740   24.554319   0.000550
Annalisa ZP     22.553000   0.010000   23.402000   0.009000   25.673000   0.006000   25.252000   0.002000   24.331000   0.004000   24.554000   0.003000
res_gd71        -0.003285   0.000760   -0.008581   0.000700   -0.007808   0.000820   -0.000256   0.000870   -0.000465   0.000480   -0.003847   0.000290
res_gd153        0.003588   0.000680   -0.001480   0.000930   -0.007923   0.000900   -0.001652   0.000910   -0.000092   0.000520   -0.001120   0.000450
res_g191b2b      0.008508   0.000700    0.001890   0.000690   -0.001250   0.000710   -0.000282   0.000520   -0.002988   0.000740    0.000319   0.000550
Weighted mean   22.556275   0.000410   23.399121   0.000434   25.667927   0.000461   25.251458   0.000401   24.330207   0.000318   24.551506   0.000223
